NBM #,Field number,Institution code,Genus,Species,Scientific Name,Date,Lat,Long,Sex,LifeStage,Remarks,Tissue,Photo,Locality,Department,Province,Country,Collector,Other Collectors,Habitat,Preservation
NBM-AR-013775,GFMJ-3000,NBM,Leptopelis,brevirostris,Leptopelis brevirostris,2023-06-07,-3.090,10.7848,,Subadult,,Yes,Yes,Malounga II,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard","Forest, far from water",Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013776,GFMJ-3001,NBM,Amnirana,lepus,Amnirana lepus,2023-06-07,-3.086203,10.753292,Female,Adult,,Yes,,Malounga II,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013777,GFMJ-3002,NBM,Amnirana,lepus,Amnirana lepus,2023-06-07,-3.086203,10.753292,Male,Adult,,No,,Malounga II,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013778,GFMJ-3003,NBM,Scotobleps,gabonicus,Scotobleps gabonicus,2023-06-07,-3.086203,10.753292,Female,Adult,Amplexus with GFMJ-3004,No,Yes,Malounga II,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013779,GFMJ-3004,NBM,Scotobleps,gabonicus,Scotobleps gabonicus,2023-06-07,-3.086203,10.753292,Male,Adult,Amplexus with GFMJ-3003,No,Yes,Malounga II,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013780,GFMJ-3010,NBM,Amnirana,lepus,Amnirana lepus,2023-06-07,-3.082,10.754,Male,,,,Yes,Malounga II,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013781,GFMJ-3011,NBM,Amnirana,lepus,Amnirana lepus,2023-06-07,-3.082,10.754,Female,,,,Yes,Malounga II,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013782,GFMJ-3012,NBM,Scotobleps,gabonicus,Scotobleps gabonicus,2023-06-07,-3.082,10.754,Female,,,,,Malounga II,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013783,GFMJ-3014,NBM,Amnirana,lepus,Amnirana lepus,2023-06-07,-3.081631,10.753199,Male,,,,,Malounga II,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013784,GFMJ-3016,NBM,Amnirana,albolabris,Amnirana albolabris,2023-06-07,-3.081631,10.753199,,,,Yes,,Malounga II,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013785,GFMJ-3017,NBM,Amnirana,albolabris,Amnirana albolabris,2023-06-07,-3.081631,10.753199,,,,,,Malounga II,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013786,GFMJ-3018,NBM,Scotobleps,gabonicus,Scotobleps gabonicus,2023-06-07,-3.081631,10.753199,Male,,,,,Malounga II,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013787,GFMJ-3019,NBM,Panaspis,breviceps,Panaspis breviceps,2023-06-07,-3.081631,10.753199,,,,,,Malounga II,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013788,GFMJ-3021,NBM,Sclerophrys,gracilipes,Sclerophrys gracilipes,2023-06-08,-3.090901,10.744538,,,,Yes,,Malounga II; River south of of the village. ,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013789,GFMJ-3022,NBM,Hyperolius,ocellatus,Hyperolius ocellatus,2023-06-08,-3.106,10.744,Male,,,Yes,Yes,Malounga II; River south of of the village. ,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013790,GFMJ-3023,NBM,Amnirana,lepus,Amnirana lepus,2023-06-08,-3.106,10.744,Male,,,Yes,Yes,Malounga II; River south of of the village. ,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013791,GFMJ-3025,NBM,Scotobleps,gabonicus,Scotobleps gabonicus,2023-06-08,-3.106,10.744,Male,,,Yes,Yes,Malounga II; River south of of the village. ,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013792,GFMJ-3027,NBM,Amnirana,lepus,Amnirana lepus,2023-06-08,-3.111048,10.734023,,Juvenile,,Yes,,Malounga II; River with rapids,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013793,GFMJ-3028,NBM,Amnirana,albolabris,Amnirana albolabris,2023-06-08,-3.111048,10.734023,Male,,,Yes,,Malounga II; River with rapids,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013794,GFMJ-3029,NBM,Scotobleps,gabonicus,Scotobleps gabonicus,2023-06-08,-3.111048,10.734023,,Juvenile,,Yes,,Malounga II; River with rapids,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013795,GFMJ-3030,NBM,Scotobleps,gabonicus,Scotobleps gabonicus,2023-06-08,-3.111048,10.734023,,,,Yes,,Malounga II; River with rapids,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013796,GFMJ-3031,NBM,Scotobleps,gabonicus,Scotobleps gabonicus,2023-06-08,-3.111048,10.734023,,,,Yes,,Malounga II; River with rapids,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013797,GFMJ-3034,NBM,Phrynobatrachus,cf. cornutus,Phrynobatrachus cf. cornutus,2023-06-08,-3.109939,-10.733570,,,,,,Malounga II; River with rapids,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013798,GFMJ-3035,NBM,Trichobatrachus,robustus,Trichobatrachus robustus,2023-06-09,-2.880915,11.021433,Male,Subadult,,Yes,Yes,Mighoma; Migoutsi River,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013799,GFMJ-3037,NBM,Amnirana,lepus,Amnirana lepus,2023-06-09,-2.880917,11.021435,Male,,,,,Mighoma; Migoutsi River,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013800,GFMJ-3038,NBM,Amnirana,lepus,Amnirana lepus,2023-06-09,-2.880918,11.021436,Male,,,,Yes,Mighoma; Migoutsi River,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013801,GFMJ-3039,NBM,Scotobleps,gabonicus,Scotobleps gabonicus,2023-06-09,-2.880919,11.021437,Female,,In amplexus with 3040,,,Mighoma; Migoutsi River,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013802,GFMJ-3040,NBM,Scotobleps,gabonicus,Scotobleps gabonicus,2023-06-09,-2.880920,11.021438,Male,,In amplexus with 3039,,,Mighoma; Migoutsi River,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013803,GFMJ-3047,NBM,Scotobleps,gabonicus,Scotobleps gabonicus,2023-06-09,-2.880927,11.021445,,,,,,Mighoma; Migoutsi River,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013804,GFMJ-3048,NBM,Scotobleps,gabonicus,Scotobleps gabonicus,2023-06-09,-2.880928,11.021446,,,,,,Mighoma; Migoutsi River,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013805,GFMJ-3049,NBM,Scotobleps,gabonicus,Scotobleps gabonicus,2023-06-09,-2.880929,11.021447,,,,,,Mighoma; Migoutsi River,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013806,GFMJ-3051,NBM,Leptopelis,millsoni,Leptopelis millsoni,2023-06-09,-2.880931,11.021449,Female,,,,,Mighoma; Migoutsi River,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013807,GFMJ-3052,NBM,Sclerophrys,gracilipes,Sclerophrys gracilipes,2023-06-09,-2.880932,11.021450,,,,,,Mighoma; Migoutsi River,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013808,GFMJ-3053,NBM,Sclerophrys,camerunensis,Sclerophrys camerunensis,2023-06-09,-2.880933,11.021451,,,,,,Mighoma; Migoutsi River,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013809,GFMJ-3055,NBM,Phrynobatrachus,sp. ,Phrynobatrachus sp. ,2023-06-09,-2.880935,11.021453,,,,,,Mighoma; Migoutsi River,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013810,GFMJ-3058,NBM,Mehelya,poensis,Mehelya poensis,2023-06-10,-2.885972,11.020508,,,,,,Mighoma; 400m transect of Migoutsi River,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)
NBM-AR-013811,GFMJ-3060,NBM,Naja,melanoleuca,Naja melanoleuca,2023-06-10,,,,,,,,E. of Tchibanga along N6,Mayumba,Nyanga,Gabon,"Jongsma, Gregory FM","Ngoulou, Bloy Joris | Nzengue, Edouard",Forest stream,Formin 10% | tissue (EtOH 90%) | preserved (EtOH 70%)